Zipcode,Population,Median Age,Household Income,Per Capita Income
34787,53496.0,34.9,60208.0,27895.0
34788,16912.0,58.3,38062.0,24371.0
34797,1087.0,60.1,86333.0,45153.0
34945,5495.0,44.2,45100.0,21426.0
34946,6134.0,42.9,28908.0,16850.0
34947,12501.0,29.4,23455.0,12016.0
34949,7143.0,65.5,52892.0,45997.0
34950,15120.0,36.0,17473.0,12850.0
34951,14891.0,55.9,42778.0,30085.0
34952,38026.0,52.9,41826.0,24403.0
34953,65295.0,34.8,52959.0,21362.0
34956,10585.0,33.1,35431.0,13394.0
34957,21848.0,56.9,45648.0,33296.0
34972,20712.0,35.1,32583.0,13169.0
34974,22051.0,47.5,38343.0,21539.0
34981,5418.0,47.9,45054.0,24984.0
34982,24770.0,43.0,34856.0,19494.0
34983,39922.0,41.7,47481.0,21645.0
34984,15524.0,40.1,49389.0,22728.0
34986,24610.0,50.3,53490.0,32285.0
34987,6607.0,42.9,71105.0,29072.0
34990,27687.0,51.9,76155.0,43436.0
34994,17471.0,47.4,37334.0,26096.0
34996,10208.0,63.2,48088.0,51795.0
34997,42507.0,49.3,51192.0,30056.0
35004,9974.0,39.4,62281.0,31032.0
35005,7687.0,40.0,42949.0,20505.0
35006,3201.0,42.8,44663.0,20080.0
35007,26499.0,36.2,65649.0,24701.0
35010,21153.0,40.0,33761.0,19295.0
35014,4035.0,42.6,37835.0,20093.0
35016,16348.0,40.8,40192.0,23169.0
35019,1918.0,40.5,32974.0,18155.0
35020,26729.0,37.6,25042.0,14333.0
35022,20020.0,41.1,60159.0,28721.0
35023,25407.0,41.1,47387.0,20569.0
35031,8046.0,39.8,36983.0,16911.0
35032,61.0,28.6,26250.0,8057.0
35033,3467.0,41.9,37328.0,21549.0
35034,4656.0,36.7,30670.0,10080.0
35035,1426.0,39.3,60455.0,19589.0
35040,16059.0,32.7,61525.0,24880.0
35042,5932.0,44.8,41734.0,25148.0
35043,10101.0,36.9,81714.0,30988.0
35044,7816.0,37.1,29870.0,17989.0
35045,14121.0,40.0,41259.0,22587.0
35046,5032.0,42.8,41250.0,23686.0
35049,3980.0,38.2,44241.0,19820.0
35051,8868.0,39.3,45412.0,23070.0
35053,2906.0,45.6,45208.0,23702.0
35054,3774.0,52.4,48074.0,28502.0
35055,20290.0,38.7,37614.0,20451.0
35057,12529.0,41.6,47045.0,23293.0
35058,9565.0,43.3,37736.0,20591.0
35061,1357.0,38.1,40741.0,19024.0
35062,7482.0,42.8,44018.0,24459.0
35063,3900.0,45.5,36328.0,19900.0
