Zipcode,Region
20011,BaltimoreWashington
20012,BaltimoreWashington
20015,BaltimoreWashington
20016,BaltimoreWashington
20017,BaltimoreWashington
20018,BaltimoreWashington
20019,BaltimoreWashington
20020,BaltimoreWashington
20024,BaltimoreWashington
20032,BaltimoreWashington
20036,BaltimoreWashington
20037,BaltimoreWashington
20105,BaltimoreWashington
20106,BaltimoreWashington
20109,BaltimoreWashington
20110,BaltimoreWashington
20111,BaltimoreWashington
20112,BaltimoreWashington
20115,BaltimoreWashington
20117,BaltimoreWashington
20119,BaltimoreWashington
20120,BaltimoreWashington
20121,BaltimoreWashington
20124,BaltimoreWashington
20129,BaltimoreWashington
20130,BaltimoreWashington
20132,BaltimoreWashington
20135,BaltimoreWashington
20136,BaltimoreWashington
20137,BaltimoreWashington
20141,BaltimoreWashington
20143,BaltimoreWashington
20144,BaltimoreWashington
20147,BaltimoreWashington
20148,BaltimoreWashington
20151,BaltimoreWashington
20152,BaltimoreWashington
20155,BaltimoreWashington
20158,BaltimoreWashington
20164,BaltimoreWashington
20165,BaltimoreWashington
20166,BaltimoreWashington
20169,BaltimoreWashington
20170,BaltimoreWashington
20171,BaltimoreWashington
20175,BaltimoreWashington
20176,BaltimoreWashington
20180,BaltimoreWashington
20181,BaltimoreWashington
20184,BaltimoreWashington
20186,BaltimoreWashington
20187,BaltimoreWashington
20190,BaltimoreWashington
20191,BaltimoreWashington
20194,BaltimoreWashington
20197,BaltimoreWashington
20198,BaltimoreWashington
20317,BaltimoreWashington
21201,BaltimoreWashington
21202,BaltimoreWashington
21204,BaltimoreWashington
21205,BaltimoreWashington
21206,BaltimoreWashington
21207,BaltimoreWashington
21208,BaltimoreWashington
21209,BaltimoreWashington
21210,BaltimoreWashington
21211,BaltimoreWashington
21212,BaltimoreWashington
21213,BaltimoreWashington
21214,BaltimoreWashington
21215,BaltimoreWashington
21216,BaltimoreWashington
21217,BaltimoreWashington
21218,BaltimoreWashington
21219,BaltimoreWashington
21220,BaltimoreWashington
21221,BaltimoreWashington
21222,BaltimoreWashington
21223,BaltimoreWashington
21224,BaltimoreWashington
21225,BaltimoreWashington
21226,BaltimoreWashington
21227,BaltimoreWashington
21228,BaltimoreWashington
21229,BaltimoreWashington
21230,BaltimoreWashington
21231,BaltimoreWashington
21234,BaltimoreWashington
21236,BaltimoreWashington
21237,BaltimoreWashington
21239,BaltimoreWashington
21244,BaltimoreWashington
21286,BaltimoreWashington
23175,RichmondNorfolk
23176,RichmondNorfolk
23177,RichmondNorfolk
23180,RichmondNorfolk
23181,RichmondNorfolk
23185,RichmondNorfolk
23188,RichmondNorfolk
23192,RichmondNorfolk
23219,RichmondNorfolk
23220,RichmondNorfolk
23221,RichmondNorfolk
23222,RichmondNorfolk
23223,RichmondNorfolk
23224,RichmondNorfolk
23225,RichmondNorfolk
23226,RichmondNorfolk
23227,RichmondNorfolk
23228,RichmondNorfolk
23229,RichmondNorfolk
23230,RichmondNorfolk
23231,RichmondNorfolk
23233,RichmondNorfolk
23234,RichmondNorfolk
23235,RichmondNorfolk
23236,RichmondNorfolk
23237,RichmondNorfolk
23238,RichmondNorfolk
23294,RichmondNorfolk
23324,RichmondNorfolk
23325,RichmondNorfolk
23336,RichmondNorfolk
23337,RichmondNorfolk
23347,RichmondNorfolk
23350,RichmondNorfolk
23356,RichmondNorfolk
23357,RichmondNorfolk
23359,RichmondNorfolk
23405,RichmondNorfolk
23410,RichmondNorfolk
23413,RichmondNorfolk
23415,RichmondNorfolk
23417,RichmondNorfolk
23418,RichmondNorfolk
23420,RichmondNorfolk
23421,RichmondNorfolk
23422,RichmondNorfolk
23423,RichmondNorfolk
23426,RichmondNorfolk
23427,RichmondNorfolk
23430,RichmondNorfolk
23432,RichmondNorfolk
23433,RichmondNorfolk
23434,RichmondNorfolk
23435,RichmondNorfolk
23436,RichmondNorfolk
